Fiscal Year,Slicer,COVID FILTER,Data Slicer,Location,Offenses,Select Sheet,Stage Filter,AGE ,AGE1,All,Basic Race Sex Ethnicity,Category1,Circuit1,County   ,COVIDMONTHS,Date,Ethnic Group,Gender1,Offense1,Region,Stage,Stages1,Arrests,Arrests per 1000,Arrests/Youth,Arrests/Youth ,Youth,Youth per 1000,Youth Population,Youthpop
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,3,Hamilton,1,2/21/2020,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,3,Hamilton,1,1/6/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,3,Hamilton,1,7/1/2019,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,3,Hamilton,1,1/6/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Hamilton,1,1/23/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Hamilton,1,1/31/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Hamilton,1,2/4/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,3,Hamilton,1,9/30/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Hamilton,1,7/31/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,3,Hamilton,1,1/6/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,3,Hamilton,1,8/5/2019,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,3,Hamilton,1,1/23/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,10,All,Black Female,Misdemeanor,3,Hamilton,1,1/6/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,3,Hamilton,1,12/2/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,3,Hamilton,1,12/30/2019,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,3,Hamilton,1,1/23/2020,Black,Female,Assault/Battery,North,Arrests,Intake,2,11,2,2,2,11,188,376
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,3,Hamilton,1,3/5/2020,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,3,Hamilton,1,2/28/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,0,0,0,0,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Misdemeanor,3,Hamilton,1,1/3/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,3,Hamilton,1,1/23/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,3,Hamilton,1,12/13/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,3,Hamilton,1,2/21/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,3,Hamilton,1,1/3/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,5,1,1,1,5,188,188
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,,All,Hispanic Female,,3,Hamilton,1,,Hispanic,Female,,North,,Intake,,,0,,,,112,112
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Other Female,Felony,7,St Johns,1,10/14/2019,Other,Female,Agg Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,441,441
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Other Female,Misdemeanor,7,St Johns,1,9/20/2019,Other,Female,Misdemeanor Drug,North,Arrests,Intake,1,2,1,1,1,2,441,441
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,5,Hernando,1,12/20/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,0,0,0,0,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,5,Hernando,1,11/26/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,5,Hernando,1,7/18/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,5,Hernando,1,11/26/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,5,Hernando,1,9/9/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,5,Hernando,1,1/16/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,5,Hernando,1,11/4/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,5,Hernando,1,9/17/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,5,Hernando,1,10/9/2019,Black,Female,Trespassing,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,5,Hernando,1,2/4/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,2,0,0,0,0,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,5,Hernando,1,12/29/2019,Black,Female,Auto Theft,North,Arrests,Intake,1,2,1,1,1,2,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,5,Hernando,1,12/27/2019,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,2,0,0,0,0,656,656
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,8,Alachua,1,2/15/2020,Hispanic,Female,Assault/Battery,North,Arrests,Intake,1,1,0,0,0,0,1313,1313
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,8,Alachua,1,2/26/2020,Hispanic,Female,Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,1313,1313
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,8,Alachua,1,3/19/2020,Hispanic,Female,Vandalism,North,Arrests,Intake,1,1,0,0,0,0,1313,1313
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,8,Alachua,1,3/10/2020,Hispanic,Female,Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,1313,1313
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,,All,Black Female,,14,Calhoun,1,,Black,Female,,North,,Intake,,,0,,,,70,70
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,,All,Other Female,,12,Sarasota,1,,Other,Female,,Central,,Intake,,,0,,,,405,405
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Other Female,Misdemeanor,3,Taylor,1,12/6/2019,Other,Female,Misd Obstruct Justice,North,Arrests,Intake,1,59,1,1,1,59,17,17
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/29/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,7/24/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Other,19,St Lucie,1,1/8/2020,Hispanic,Female,Violation of Probation LEO,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Felony,19,St Lucie,1,2/26/2020,Hispanic,Female,“Other” Felony,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,2,4/8/2020,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,2,0,1,1,1,0,4457,8914
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Other,19,St Lucie,1,8/19/2019,Hispanic,Female,Violation of Probation New-Law,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Hispanic Female,Other,19,St Lucie,2,4/10/2020,Hispanic,Female,Violation of Probation LEO,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,7/24/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,7/22/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/12/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Hispanic Female,Misdemeanor,19,St Lucie,2,5/26/2020,Hispanic,Female,Vandalism,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Misdemeanor,19,St Lucie,1,11/18/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Hispanic Female,Other,19,St Lucie,2,5/7/2020,Hispanic,Female,Violation of Probation Non-Law,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Other,19,St Lucie,1,2/18/2020,Hispanic,Female,Violation of Probation Non-Law,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Felony,19,St Lucie,1,12/12/2019,Hispanic,Female,Auto Theft,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,9/6/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,10/28/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Felony,19,St Lucie,1,7/8/2019,Hispanic,Female,Obstruct Justice,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,2,4/26/2020,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,11/24/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Other,19,St Lucie,1,12/3/2019,Hispanic,Female,Violation of Probation Non-Law,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Felony,19,St Lucie,2,5/4/2020,Hispanic,Female,Arson,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Hispanic Female,Felony,19,St Lucie,1,1/27/2020,Hispanic,Female,Sexual Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Hispanic Female,Felony,19,St Lucie,2,4/8/2020,Hispanic,Female,Felony Vandalism,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Hispanic Female,Other,19,St Lucie,2,5/12/2020,Hispanic,Female,Violation of Probation LEO,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
