census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,county_GEOID,county,state
12086000211,931,369,562,352,1592,53533,240400,1728,710,158,485,0,33,0,15,15,-888888888,162,39,69,217,833,802,1196,64,172,4,39.63480129,60.36519871,37.80880773,22.55639098,60,-610,15.97717546,28,9.333333333,16,5.333333333,2,2,7,16,0.4375,14,32,0.4375,7,26,0.2692307692,9,4,3,0,0,2,1.515151515,2.556818182,1.136363636,0.8522727273,0.3558718861,0,0,0.3558718861,2.529358627,0.6507860596,1.733086002,2.034211743,0.6363636364,1.130384879,12086,Miami-Dade County,Florida
12086000212,1668,1373,295,201,1109,33958,179900,1389,887,652,771,0,49,0,45,35,-888888888,297,24,269,552,1456,860,1637,140,301,0,82.31414868,17.68585132,12.05035971,5.635491607,50,-787,35.59358752,150,50,15,5,10,3.333333333,51,64,0.796875,58,85,0.6823529412,41,62,0.6612903226,8,2,5,2,5,3,2.487562189,3.980099502,0.9950248756,2.487562189,1.129943503,0.6779661017,1.694915254,1.016949153,3.641660597,1.068454725,2.495221887,3.494282084,0.9090909091,1.941726884,12086,Miami-Dade County,Florida
12086000213,1379,694,685,356,1291,40250,254900,1701,696,560,309,40,42,19,9,13,-888888888,300,72,90,411,1278,1629,1737,150,267,0,50.32632342,49.67367658,25.81580856,23.85786802,58,-596,20.15984016,33,11,34,11.33333333,7,2.333333333,10,12,0.8333333333,18,25,0.72,5,5,1,10,16,8,2,2,3,3.183520599,2.808988764,4.494382022,2.247191011,0.3406326034,0.2919708029,0.2919708029,0.4379562044,1.585014409,1.367381945,1.086032742,2.126984127,0.4925373134,1.18193728,12086,Miami-Dade County,Florida
12086000214,2238,1209,1029,649,1135,39962,147800,1299,1362,542,1052,84,112,0,45,93,-888888888,489,46,471,444,1724,1665,2190,278,487,42,54.02144772,45.97855228,28.99910634,16.97944593,55,-1262,12.05284251,61,20.33333333,34,11.33333333,3,1.5,24,37,0.6486486486,17,36,0.4722222222,20,34,0.5882352941,10,14,10,1,0,2,1.746276323,1.540832049,2.157164869,1.540832049,0.1457725948,0.09718172983,0,0.1943634597,1.681830714,0.7500585093,1.152370106,1.704341586,0.6421052632,0.9470803439,12086,Miami-Dade County,Florida
12086000128,1364,726,638,396,1349,63889,205900,1610,1240,85,869,0,0,0,19,20,-888888888,142,67,256,351,958,667,1773,19,690,0,53.22580645,46.77419355,29.03225806,17.74193548,48,-1140,12.94390972,10,3.333333333,23,7.666666667,2,1,4,6,0.6666666667,4,4,1,2,5,0.4,9,7,7,0,1,1,1.936026936,2.272727273,1.767676768,1.767676768,0.1567398119,0,0.1567398119,0.1567398119,0.4591368228,0.831559965,0.3145950092,0.9803921569,0.303030303,0.544791108,12086,Miami-Dade County,Florida
12086000130,1278,477,801,170,2093,73125,433600,2524,1165,76,451,0,18,0,0,19,-888888888,97,119,238,136,728,759,840,30,2231,0,37.32394366,62.67605634,13.30203443,49.37402191,30,-1065,7.387456714,7,2.333333333,25,8.333333333,9,4.5,2,3,0.6666666667,2,5,0.4,3,3,1,10,11,4,0,4,5,4.901960784,5.882352941,6.470588235,2.352941176,0.5617977528,0,0.4993757803,0.6242197253,0.4891684137,2.10548431,0.3351722929,1.648634724,0.21875,0.916124769,12086,Miami-Dade County,Florida
12086000129,1017,116,901,285,3278,114653,808500,3757,975,0,220,0,32,0,0,10,-888888888,85,72,219,87,467,1253,288,0,1246,0,11.40609636,88.59390364,28.02359882,60.57030482,27,-875,2.741702742,6,2,26,8.666666667,6,3,1,1,1,3,4,0.75,2,3,0.6666666667,3,5,18,0,4,2,3.040935673,1.052631579,1.754385965,6.315789474,0.332963374,0,0.4439511654,0.2219755827,1.724137931,1.306139039,1.1813585,2.660016625,0.1875,1.478136473,12086,Miami-Dade County,Florida
12086010010,1101,416,685,465,1352,50481,179500,1422,617,437,617,0,0,0,0,47,-888888888,105,42,156,224,987,1486,1592,123,192,47,37.78383288,62.21616712,42.23433243,19.9818347,53,-517,16.63974152,27,9,55,18.33333333,14,4.666666667,11,17,0.6470588235,9,19,0.4736842105,7,20,0.35,27,12,16,2,6,6,3.94265233,5.806451613,2.580645161,3.440860215,0.6812652068,0.2919708029,0.8759124088,0.8759124088,2.163461538,1.693443295,1.482377733,3.102534998,0.3292682927,1.724038149,12086,Miami-Dade County,Florida
12086006206,1643,1079,564,255,1645,71540,526900,3061,1548,10,1122,0,28,0,30,27,-888888888,215,84,398,357,870,1027,1437,108,375,0,65.67255021,34.32744979,15.52038953,18.80706026,28,-1448,7.481371088,12,6,23,7.666666667,,,6,8,0.75,0,5,0,6,15,0.4,9,7,7,,,,3.006535948,3.529411765,2.745098039,2.745098039,,,,,0.5560704356,1.29136371,0.3810127508,1.024487756,0.4390243902,0.5692944562,12086,Miami-Dade County,Florida
12086006504,919,424,495,267,1612,63750,420600,1942,877,6,801,0,11,0,0,25,-888888888,232,45,182,316,756,254,926,161,50,0,46.13710555,53.86289445,29.05331882,24.80957563,73,-777,18.71416871,7,2.333333333,22,7.333333333,1,1,3,3,1,3,5,0.6,1,4,0.25,11,2,9,0,0,1,2.746566792,4.119850187,0.7490636704,3.370786517,0.202020202,0,0,0.202020202,0.5503144654,1.179702071,0.3770688295,1.398938736,0.2413793103,0.7773719718,12086,Miami-Dade County,Florida
